Type,Length,Content,Perspective,Answer Type,Prompt,Response
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Oatmeal with Berries and Almonds
Millet Porridge with Nuts and Honey
Congee with Tofu and Sesame Seeds
Arepa with Avocado and Cheese
Cornmeal Mush with Berries and Nuts",Oatmeal with Berries and Almonds
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Oatmeal with Berries and Almonds
Millet Porridge with Nuts and Honey
Congee with Tofu and Sesame Seeds
Arepa with Avocado and Cheese
Cornmeal Mush with Berries and Nuts",Oatmeal with Berries and Almonds
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Oatmeal with Berries and Almonds
Millet Porridge with Nuts and Honey
Congee with Tofu and Sesame Seeds
Arepa with Avocado and Cheese
Cornmeal Mush with Berries and Nuts",Oatmeal with Berries and Almonds
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Oatmeal with Berries and Almonds
Millet Porridge with Nuts and Honey
Congee with Tofu and Sesame Seeds
Arepa with Avocado and Cheese
Cornmeal Mush with Berries and Nuts",Oatmeal with Berries and Almonds
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Oatmeal with Berries and Almonds
Millet Porridge with Nuts and Honey
Congee with Tofu and Sesame Seeds
Arepa with Avocado and Cheese
Cornmeal Mush with Berries and Nuts",Oatmeal with Berries and Almonds
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Oatmeal with Berries and Almonds
Millet Porridge with Nuts and Honey
Congee with Tofu and Sesame Seeds
Arepa with Avocado and Cheese
Cornmeal Mush with Berries and Nuts",Oatmeal with Berries and Almonds
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Oatmeal with Berries and Almonds
Millet Porridge with Nuts and Honey
Congee with Tofu and Sesame Seeds
Arepa with Avocado and Cheese
Cornmeal Mush with Berries and Nuts",Oatmeal with Berries and Almonds
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Oatmeal with Berries and Almonds
Millet Porridge with Nuts and Honey
Congee with Tofu and Sesame Seeds
Arepa with Avocado and Cheese
Cornmeal Mush with Berries and Nuts",Oatmeal with Berries and Almonds
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Oatmeal with Berries and Almonds
Millet Porridge with Nuts and Honey
Congee with Tofu and Sesame Seeds
Arepa with Avocado and Cheese
Cornmeal Mush with Berries and Nuts",Oatmeal with Berries and Almonds
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Oatmeal with Berries and Almonds
Millet Porridge with Nuts and Honey
Congee with Tofu and Sesame Seeds
Arepa with Avocado and Cheese
Cornmeal Mush with Berries and Nuts",Oatmeal with Berries and Almonds
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Quinoa Salad with Chickpeas and Avocado
Jollof Rice with Black Beans
Brown Rice Bowl with Tofu and Vegetables
Rice and Beans with Avocado
Wild Rice and Beans Salad",Quinoa Salad with Chickpeas and Avocado
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Quinoa Salad with Chickpeas and Avocado
Jollof Rice with Black Beans
Brown Rice Bowl with Tofu and Vegetables
Rice and Beans with Avocado
Wild Rice and Beans Salad",Quinoa Salad with Chickpeas and Avocado
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Quinoa Salad with Chickpeas and Avocado
Jollof Rice with Black Beans
Brown Rice Bowl with Tofu and Vegetables
Rice and Beans with Avocado
Wild Rice and Beans Salad",Quinoa Salad with Chickpeas and Avocado
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Quinoa Salad with Chickpeas and Avocado
Jollof Rice with Black Beans
Brown Rice Bowl with Tofu and Vegetables
Rice and Beans with Avocado
Wild Rice and Beans Salad",Quinoa Salad with Chickpeas and Avocado
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Quinoa Salad with Chickpeas and Avocado
Jollof Rice with Black Beans
Brown Rice Bowl with Tofu and Vegetables
Rice and Beans with Avocado
Wild Rice and Beans Salad",Quinoa Salad with Chickpeas and Avocado
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Quinoa Salad with Chickpeas and Avocado
Jollof Rice with Black Beans
Brown Rice Bowl with Tofu and Vegetables
Rice and Beans with Avocado
Wild Rice and Beans Salad",Quinoa Salad with Chickpeas and Avocado
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Quinoa Salad with Chickpeas and Avocado
Jollof Rice with Black Beans
Brown Rice Bowl with Tofu and Vegetables
Rice and Beans with Avocado
Wild Rice and Beans Salad",Quinoa Salad with Chickpeas and Avocado
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Quinoa Salad with Chickpeas and Avocado
Jollof Rice with Black Beans
Brown Rice Bowl with Tofu and Vegetables
Rice and Beans with Avocado
Wild Rice and Beans Salad",Quinoa Salad with Chickpeas and Avocado
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Quinoa Salad with Chickpeas and Avocado
Jollof Rice with Black Beans
Brown Rice Bowl with Tofu and Vegetables
Rice and Beans with Avocado
Wild Rice and Beans Salad",Quinoa Salad with Chickpeas and Avocado
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Quinoa Salad with Chickpeas and Avocado
Jollof Rice with Black Beans
Brown Rice Bowl with Tofu and Vegetables
Rice and Beans with Avocado
Wild Rice and Beans Salad",Quinoa Salad with Chickpeas and Avocado
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Grilled Chicken with Roasted Vegetables
Grilled Fish with Couscous and Vegetables
Stir-fried Tofu with Vegetables and Rice
Chicken Fajitas with Peppers and Onions
Bison Steak with Roasted Root Vegetables",Stir-fried Tofu with Vegetables and Rice
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Grilled Chicken with Roasted Vegetables
Grilled Fish with Couscous and Vegetables
Stir-fried Tofu with Vegetables and Rice
Chicken Fajitas with Peppers and Onions
Bison Steak with Roasted Root Vegetables",Grilled Fish with Couscous and Vegetables
Dietary Advice,Long,Irrelevant,First,Multiple Choice,"I have a bachelor’s degree in computer science. My favorite color is blue. I want to choose the healthiest dish among the following. Which one is the healthiest? Just say the name.

Grilled Chicken with Roasted Vegetables
Grilled Fish with Couscous and Vegetables
Stir-fried Tofu with Vegetables and Rice
Chicken Fajitas with Peppers and Onions
Bison Steak with Roasted Root Vegetables",Grilled Fish with Couscous and Vegetables
